created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,retweeted_status,quoted_status_id,quoted_status_id_str,quoted_status_permalink,quoted_status,text,favorited_by,scopes,display_text_width,quote_count,timestamp_ms,reply_count,filter_level,metadata,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
2022-11-18T04:30:00Z,1593461495245017e3,1593461495245017094,"#30DayMapChallenge

Day 18 - Colour Friday: blue
Bolivia: average annual rainfall. Paper-cut style map.

Día 18 - Viernes de color: azul
Bolivia: precipitación anual promedio. Mapa estilo papel cortado.

Source/fuente: WorldClim
Tools/Herramientas: QGIS &amp; LibreOffice Impress https://t.co/4s3YihBbLm",FALSE,279,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1,6,FALSE,FALSE,FALSE,es,,NA,NA,,,"#30DayMapChallenge

Day 18 - Colour Friday: blue
Bolivia: average annual rainfall. Paper-cut style map.

Día 18 - Viernes de color: azul
Bolivia: precipitación anual promedio. Mapa estilo papel cortado.

Source/fuente: WorldClim
Tools/Herramientas: QGIS &amp; LibreOffice Impress https://t.co/4s3YihBbLm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-18T00:14:34Z,1593397213635391500,1593397213635391488,RT @chodacki: CSVconf is happening again! This time in Buenos Aires - April 19-20. It’s a great community conference focused on elegant app…,FALSE,140,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,10,0,TRUE,TRUE,NA,en,,NA,NA,,,RT @chodacki: CSVconf is happening again! This time in Buenos Aires - April 19-20. It’s a great community conference focused on elegant app…,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-17T14:31:12Z,1593250407412772900,1593250407412772864,"#30DayMapChallenge

Day 17 - Without a computer
Public green spaces of my neighborhood.

Día 17 - Sin una computadora
Áreas verdes públicas de mi barrio.

Source/fuente: weekly walks/paseos semanales
Tools/Herramientas: Color pencils, sharpie, pen https://t.co/flwtrNG0Dz",FALSE,247,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1,6,FALSE,FALSE,FALSE,es,,NA,NA,,,"#30DayMapChallenge

Day 17 - Without a computer
Public green spaces of my neighborhood.

Día 17 - Sin una computadora
Áreas verdes públicas de mi barrio.

Source/fuente: weekly walks/paseos semanales
Tools/Herramientas: Color pencils, sharpie, pen https://t.co/flwtrNG0Dz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-17T13:05:54Z,1593228940436738e3,1593228940436738048,Ríos y lagos de Las Américas https://t.co/F5B170v7EE,FALSE,28,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,0,1,FALSE,FALSE,FALSE,es,,1593062617391702e3,1593062617391702016,,,Ríos y lagos de Las Américas https://t.co/F5B170v7EE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-17T12:58:34Z,1593227094481604600,1593227094481604608,"RT @timlinux: Just finished my talk for #foss4guk 2022

20 Years of QGIS: Successes and Failures of a Global Phenomenon

https://t.co/zZ7e8…",FALSE,140,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,8,0,TRUE,TRUE,NA,en,,NA,NA,,,"RT @timlinux: Just finished my talk for #foss4guk 2022

20 Years of QGIS: Successes and Failures of a Global Phenomenon

https://t.co/zZ7e8…",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-16T04:30:00Z,1592736719442428e3,1592736719442427904,"#30DayMapChallenge

Day 16 - Minimal
Santa Cruz, SC, Bolivia: a minimalist view of the city.

Día 16 - Minimal
Santa Cruz, SC, Bolivia: una visita minimalista de la ciudad.

Source/fuente: OpenStreetMap
Tools/Herramientas: QGIS &amp; LibreOffice Impress https://t.co/VscALXbNrG",FALSE,253,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,4,FALSE,FALSE,FALSE,es,,NA,NA,,,"#30DayMapChallenge

Day 16 - Minimal
Santa Cruz, SC, Bolivia: a minimalist view of the city.

Día 16 - Minimal
Santa Cruz, SC, Bolivia: una visita minimalista de la ciudad.

Source/fuente: OpenStreetMap
Tools/Herramientas: QGIS &amp; LibreOffice Impress https://t.co/VscALXbNrG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-16T01:08:49Z,1592686092222070800,1592686092222070784,"RT @OSMLatam: Están invitados a este evento de #OpenStreetMap que estamos organizando.
Si quieres hacer una presentación o taller, nos pued…",FALSE,140,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,19,0,TRUE,TRUE,NA,es,,NA,NA,,,"RT @OSMLatam: Están invitados a este evento de #OpenStreetMap que estamos organizando.
Si quieres hacer una presentación o taller, nos pued…",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-15T19:01:54Z,1592593752593694700,1592593752593694720,Interesante iniciativa para los que gustamos de este ambiente de trabajo. Bravo! https://t.co/ipGsyUbM7j,FALSE,80,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1,1,FALSE,FALSE,FALSE,es,,1592166365527675e3,1592166365527674881,,,Interesante iniciativa para los que gustamos de este ambiente de trabajo. Bravo! https://t.co/ipGsyUbM7j,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-15T19:00:50Z,1592593483331608600,1592593483331608576,RT @r_tipss: [RECURSOS 📚] ¡Acaba de salir un repositorio latinoamericano de Paquetes de R! @patriloto y @pabblo_h crearon un espacio para a…,FALSE,140,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,26,0,TRUE,TRUE,NA,es,,NA,NA,,,RT @r_tipss: [RECURSOS 📚] ¡Acaba de salir un repositorio latinoamericano de Paquetes de R! @patriloto y @pabblo_h crearon un espacio para a…,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-15T19:00:29Z,1592593395436118e3,1592593395436118017,"@researchremora Looks like Manhattan, NYC",FALSE,41,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1592576857358336e3,1592576857358336000,946151815,946151815,researchremora,,,,NA,FALSE,0,3,FALSE,FALSE,NA,en,,NA,NA,,,"@researchremora Looks like Manhattan, NYC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
